Name,Background,Skin,Shell,Body,Mouth,Eyes,Head,Token_ID
Terrapin #04880,Mint,Geisha,Knight Sword - Brown,Naked,Snarl - Cigar,Cyborg - Closed Eye,Spiky  - Brown,21115668659623778144848103954867683887
Terrapin #09271,Mint,Lion,Base ,Naked,Snarl,Tweeker ,Mohawk - Black,339686573371205809325137876315247034028
Terrapin #00735,Blue Grey,Geisha,Diamond Back,Steam Punk Shirt - Red,Grin - 5pm Shadow,Monocle - Bored ,None,26845686848091010612034591826243939022
Terrapin #08213,Lilac,Common,Base ,Leather Jacket - Black and White,Dopey,Eyepatch - Bored,Girls  - Brown,29725014212231427076011833295205785773
Terrapin #03821,Mint,Lion,Base ,Leather Jacket - Black and White,Grin - 5pm Shadow,Eyepatch - Angry,Pylon Helmet,208630217786676767860015082049195109707
Terrapin #08804,Blue Grey,Common,Knight Sword - Green,Naked,Snarl,Sunnies - Gun Metal,Cheese Head,13063797792740649467356505712628160516
Terrapin #02378,Steel Blue,Rainbow,Armoured ,Naked,Dopey,Bored ,Angel Halo,300458614166702002644008561132645799111
Terrapin #09394,Charcoal Full Moon,Leopard Lion,Dragon Wings - Green,Naked,Grin - 5pm Shadow,Sunnies - Gold,Afro,202284182861138456911104748016613140574
Terrapin #04195,Mint,Geisha,Base ,Hawaiian Shirt - Watermelon,Vampire,Bored ,Mohawk - Green,6899124682255244146689424793885484400
Terrapin #01716,Baby Blue,Dalmation,Base ,Steam Punk Shirt - Red,Grin,Tweeker ,Crown - Emerald,219930788551879605847476939700403858530
Terrapin #06432,Charcoal Full Moon,Tiger,Base ,Cloak - Black,Snarl - Cigar,Monocle - Bored ,Cap - Luna,284671574750787458468818819614823922095
Terrapin #04835,Burnt Orange,Luna,Base ,Naked,Dopey,Steam Punk - Tweeker,Octopus,216558890329471238046781745626123499152
Terrapin #01202,Steel Blue,Black and Yellow, Spikes,Kings Robe,Bubblegum,Cyborg - Angry,Fried Egg,257280107501388119132741975442345556379
Terrapin #03538,Baby Yellow,Black and Yellow,Knight Sword - Blue,Leather Jacket - Black,Dopey,Bored ,Girls  - Pink,2972060621404312848637206693746787554
Terrapin #07577,Mint,Common, Cannon,Naked,Subtle Smile,Goggle Steam Punk - Black,Mohawk - Silver,139752239649805894083246305780016803911
Terrapin #04217,Steel Blue,Common,Diamond Back,Naked,Grin - 5pm Shadow,Tweeker ,Pirate Bandana,275846304721644444168008856507350193706
Terrapin #03666,Baby Blue,Monochrome,Knight Sword - Green,Cloak - Brown,Bubblegum,Bored ,Cap - ANC,142164702004778130921464273954873897699
Terrapin #00257,Steel Blue,Monochrome,Base ,Naked,Licky Licky,Bored ,Terrorpin,105352137857322495400399359964704660171
Terrapin #00809,Neon Pink,Lion,Knight Sword - Green,Cloak - Brown,Dopey,Tweeker ,Mohawk - Red,297780549474824867162323759668250348793
Terrapin #09482,Mint,Luna,Base ,Suit and Tie,Beard,Angry Tweeker ,Crown - Ruby,121189595021648191590047456655009270015
Terrapin #00829,Charcoal Full Moon,Teddy, Spikes,Naked,Scream,Bored ,Devil Horns,207053801855330068340244093213651078324
Terrapin #00661,Burnt Orange,Luna,Steam Punk ,Leather Jacket - Black and White,Dopey,Monocle - Tweeker ,Devil Horns,198768620069145010574372893039246404240
Terrapin #07384,Mint,Luna,Knight Sword - Green,Naked,Terrorpin,Steam Punk - Angry,Spiky  - Brown,157414304762546073067358792783584293019
Terrapin #02075,Purple,Black and Yellow, Spikes,Hawaiian Shirt - Pineapple,Snarl,Cyborg - Angry Clown,Fried Egg,144303312597591030048465953966274349680
Terrapin #02037,Early Light,Common,Dragon Scale - Green,Naked,Dopey,Bored ,Cap - ANC,226594543195327426027706436659912453988
Terrapin #08682,Steel Blue,Common,Base ,Cloak - Brown,Dopey,Tweeker ,Ape Hat,54742439591024820672205125843546213444
Terrapin #04314,Mint,Luna, Spikes,Leather Jacket - Black and White,Bubblegum,Sunnies - Pink,Spiky  - Blonde,310145771197299022073070300571489653963
Terrapin #08116,Charcoal Full Moon,Dalmation,Dragon Scale - Green,Orange Shirt,Dopey,Bored ,Mohawk - Silver,226985267881686443594614642682392963609
Terrapin #08805,Lilac,Lion,Base ,Naked,Snarl - Nose Ring,Steam Punk - Bored,None,143125309880175020620259723926424498082
Terrapin #06044,Mint,Luna, Cannon,Cloak - Brown,Dopey - Vampire,Tweeker ,Bonnett,205243114526793481085240592636593551494
Terrapin #05635,Baby Blue,Geisha,Base ,Naked,Grin,Steam Punk - Tweeker,Assassins Cowl - White,176486144639727316082798589480534482450
Terrapin #03930,Early Light,Lion,Angel Wings,Naked,Grin,Eyepatch - Bored,Red  with Horns,1098659256303421108062669221835084110
Terrapin #04174,Blue Grey,Common,Armoured ,Steam Punk Shirt - Red,Grin - 5pm Shadow,Bored ,Unicorn,198066490505828782812213526279935420437
Terrapin #07633,Early Light,Unicorn, Spikes,Luna Jersey,Scowl,Bored ,Angel Halo,116961043149009822437518543874094282200
Terrapin #04381,Baby Yellow,Chocolate,Base ,Cloak - Blue,Ehh,Anime  - Blue,Mohawk - Blue,208522114505534071244945738012776004010
Terrapin #05070,Lilac,Lion,Base ,Naked,Dopey,Tweeker ,Octopus,257770636582405925992774140952139293526
Terrapin #02774,Burnt Orange,Frog,Armoured ,Leather Jacket - Black,Moustache,Bored  - Shaved Brow,Crown - Emerald,95442617608692015732094685171185524671
Terrapin #07513,Lilac,Black and Yellow,Base ,Naked,Ehh,Closed ,Mohawk - Green,162597679839637243307059637231663810705
Terrapin #03962,Purple,Monochrome,Knight Sword - Green,Naked,Terrorpin,Cyborg - Bored,Wizard Hat - Blue,160483308567580440203334319737446800543
Terrapin #07285,Blue Grey,Common,Knight Sword - Green,Naked,Ehh,Tweeker ,Mohawk - Blue,125721087905095798128924288727139138235
Terrapin #06402,Steel Blue,Chocolate,Base ,Steam Punk Shirt - Red,Monster,Cyborg - Tweeker,Terrorpin,154186567359748882053990979139011081916
Terrapin #03202,Mint,Teddy,Knight Sword - Blue,Cloak - Black,Scowl,Tweeker ,Ramen,301462626124014099288920274455010560743
Terrapin #06867,Purple,Rainbow,Base ,Naked,Grin,Bored ,Lion Hat,330917779453076114506158870108016733482
Terrapin #01933,Blood Red - Big Moon,Common,Base ,Hawaiian Shirt - Pineapple,Ehh,Bored ,Mohawk - Silver,174446587023574969728838549882425751230
Terrapin #04574,Midnight Blue - Big Moon,Common, Spikes,Naked,Dopey - Vampire,Tweeker ,Wizard Hat - Brown,46503147943727325042736617062306233148
Terrapin #07630,Burnt Orange,Zebra,Knight Sword - Blue,Naked,Grin,Steam Punk - Tweeker,Mop  Brown,125089799194576708325411313736145732306
Terrapin #05467,Midnight Blue - Big Moon,Luna,Base ,Naked,Vampire,Tweeker ,Ramen,112777755800055670634367893487131768711
Terrapin #05808,Neon Pink,Chocolate,Base ,Naked,Dopey,Steam Punk - Bored,Fried Egg,88758158326138369851575519454860078742
Terrapin #07727,Mint,Lion,Knight Sword - Green,Naked,Subtle Smile,Steam Punk - Tweeker,Mohawk - Black,185370575653671031114672928251247944482
Terrapin #03809,Blood Red - Big Moon,Common,Base ,Tuxedo,Grin,Tweeker ,Wizard Hat - Brown,280582049663590178969194846666052055039
Terrapin #05893,Neon Pink,Hellfire,Knight Sword - Blue,Cloak - Brown,Dopey - Drool,Goggle Steam Punk,Girls  - Brown,19320326838911216475990078621857540370
Terrapin #05240,Purple,Leopard Lion,Base ,Cloak - Black,Snarl,Sunnies - Gun Metal,Crown - Sapphire,187881490478972849727992102640029476050
Terrapin #02167,Baby Blue,Luna, Spikes,Orange Shirt,Moustache,Laser ,Mohawk - Black,31946830377696736833178410378365246670
Terrapin #03697,Neon Pink,Geisha,Base ,Cloak - Blue,Scream,Tweeker ,Mohawk - Silver,105767533481033896072350654945466054026
Terrapin #07082,Blue Grey,Common,Knight Sword - Green,Luna Jersey,Scowl,Steam Punk - Angry,Cap - Luna,198104540849375026482028565284129532341
Terrapin #03431,Purple,Luna,Knight Sword - Green,Naked,Grin,Tweeker ,Dragon Hat - Purple,247987425096570751801517566107168756834
Terrapin #03775,Mint,Common,Base ,Naked,Moustache,Cyborg - Angry,None,276593532479355755526958783111358591103
Terrapin #08485,Mint,Lion,Base ,Naked,Dopey,Tweeker ,Spiky  - Brown,58282972156648165727111035789322584534
Terrapin #02052,Baby Yellow,Common,Steam Punk ,Naked,Dopey,Monocle - Tweeker ,Mohawk - Blue,141245786044292600469196745926348547425
Terrapin #02115,Early Light,Unicorn,Base ,Hawaiian Shirt - Pineapple,Licky Licky,Bored ,Rainbow Cap,331383718946937878077320141273018314140
Terrapin #08260,Steel Blue,Luna,Base ,Cloak - Brown,Dopey,Bored ,Rainbow Cap,135584656406001950476638969267566214437
Terrapin #07318,Mint,Tiger,Base ,Kimono,Ehh,Bored ,Wizard Hat - Brown,195398423082765560866791866428654415668
