,Background,Count [%],Skin,Count [%],Shell,Count [%],Body,Count [%],Mouth,Count [%],Eyes,Count [%],Head,Count [%]
0,mint,15.16,Common,24.52,Base,45.47,Naked,40.34,Dopey,16.1,Tweeker,20.7,None,8.06
1,blue grey,15.11,Lion,15.41,Shell Spikes,9.15,Hawaiian Shirt - Watermelon,7.55,Grin,14.78,Bored,16.17,Mohawk - Black,4.25
2,purple,10.28,Luna,10.59,Knight Sword - Blue,4.14,Leather Jacket - Black,7.0,Ehh,8.61,Steam Punk - Angry,4.21,Spiky - Brown,3.84
3,steel blue,9.76,Hellfire,5.08,Steam Punk,4.12,Cloak - Black,6.49,Snarl,4.37,Sunnies - Gun Metal,3.85,Spiky - Blonde,3.18
4,early light,9.65,Black and Yellow,5.02,Knight Sword - Green,3.96,Cloak - Brown,5.72,Dopey - Vampire,4.29,Cyborg - Bored,3.8,Spiky - Black,3.05
5,baby yellow,5.2,Teddy,5.0,Knight Sword - Brown,3.67,Luna Jersey,3.92,Monster,4.26,Steam Punk - Tweeker,3.72,Mohawk - Silver,2.9
6,charcoal full moon,5.13,Geisha,4.94,Dragon Scale - Green,3.34,Orange Shirt,3.85,Scowl,4.11,Cyborg - Angry,3.65,Cap - ANC,2.9
7,neon pink,5.13,Tiger Teddy,4.85,Dragon Wings - Black,3.28,Steam Punk Shirt - Blue,3.24,Scream,3.95,Cyborg - Tweeker,3.46,Fried Egg,2.72
8,lilac,5.11,Chocolate,4.65,Angel Wings,3.05,Leather Jacket - Black and White,3.16,Sad,3.94,Monocle - Tweeker,3.11,Mohawk - Blue,2.7
9,burnt orange,4.95,Leopard Unicorn,4.64,Armoured,2.94,Cloak - Blue,2.97,Grin - 5pm Shadow,3.87,Steam Punk - Bored,3.04,Cap - MIR,2.54
10,baby blue,4.78,Leopard Lion,2.62,Shell Cannon,2.64,Hawaiian Shirt - Pineapple,2.95,Dopey - Drool,3.78,Monocle - Bored,2.81,Pirate Bandana,2.37
11,blood red - big moon,3.11,Tiger,2.55,Dragon Wings - Red,2.57,Steam Punk Shirt - Red,2.32,Snarl - Cigar,3.77,Eyepatch - Bored,2.6,Angel Halo,2.33
12,midnight blue - big moon,2.99,Monochrome,2.14,Dragon Scale - Purple,2.53,Suit and Tie,2.16,Snarl - Nose Ring,3.73,Bored - Shaved Brow,2.52,Basketball,2.32
13,clouds,1.85,Unicorn,2.12,Dragon Wings - Green,2.23,Tuxedo,2.15,Grin - Cigar,3.38,Closed,2.47,Mop Brown,2.26
14,charcoal - big moon,1.78,Zebra,1.9,Dragon Wings - Purple,2.13,Luna Shirt,1.85,Vampire,2.65,Goggle Steam Punk,2.41,Crown - Emerald,2.23
15,genesis,0.01,Dalmation,1.52,Scythe,1.12,Kimono,1.11,Moustache,2.64,Angry Tweeker,2.34,Devil Horns,2.23
16,,,Frog,1.03,Diamond Back,1.11,Kings Robe,1.07,Terrorpin,2.61,Eyepatch - Tweeker,2.19,Mop Black,2.22
17,,,Rainbow,0.92,Knight Sword - Red,1.04,Assassins Cloak - Black,0.98,Beard,2.5,Sunnies - Gold,2.1,Mohawk - Purple,2.17
18,,,Zombie,0.49,Turtle Katana,1.03,Luna Jersey 30,0.58,Subtle Smile,2.45,Goggle Steam Punk - Black,1.89,Afro,2.16
19,,,Genesis,0.01,Dragon Wings - Bones,0.44,Assassins Cloak - White,0.46,Bubblegum,2.13,Laser,1.76,Red with Horns,2.13
20,,,,,Space,0.03,Suit of Armour,0.1,Licky Licky,2.07,Cyborg - Angry Clown,1.75,Wizard Hat - Brown,2.1
21,,,,,Genesis,0.01,Genesis,0.01,Genesis,0.01,Cyborg - Closed Eye,1.67,Mohawk - Green,2.08
22,,,,,,,Space Suit - Red,0.01,,,Eyepatch - Angry,1.07,Top Hat - black,2.06
23,,,,,,,Space Suit - Blue,0.01,,,Steam Punk - Tweeker - Purple,1.07,Crown - Sapphire,1.98
24,,,,,,,,,,,Sunnies - Pink,0.99,Girls - Brown,1.94
25,,,,,,,,,,,Anime - Blue,0.96,Top Hat - Steam Punk,1.89
26,,,,,,,,,,,Spectacles - Tortoise Shell,0.94,Cap - Luna,1.87
27,,,,,,,,,,,Bandana - Blue,0.91,Cap - Pylon,1.86
28,,,,,,,,,,,Terrorpin,0.55,Mohawk - Red,1.83
29,,,,,,,,,,,Steam Punk - Angry Clown,0.47,Bowler Hat,1.73
30,,,,,,,,,,,Cyborg - Laser,0.42,Wizard Hat - Blue,1.67
31,,,,,,,,,,,Goggle Steam Punk - Laser,0.39,Rainbow Cap,1.58
32,,,,,,,,,,,Genesis,0.01,Cheese Head,1.53
33,,,,,,,,,,,,,Unicorn,1.42
34,,,,,,,,,,,,,Girls - Pink,1.41
35,,,,,,,,,,,,,Lion Hat,1.4
36,,,,,,,,,,,,,Penguin Hat,1.28
37,,,,,,,,,,,,,Bonnett,1.12
38,,,,,,,,,,,,,Bull Hat,1.07
39,,,,,,,,,,,,,Octopus,0.94
40,,,,,,,,,,,,,Dragon Hat - Green,0.87
41,,,,,,,,,,,,,Terrorpin,0.87
42,,,,,,,,,,,,,Ramen,0.87
43,,,,,,,,,,,,,Dragon Hat - Purple,0.84
44,,,,,,,,,,,,,Crown - Ruby,0.8
45,,,,,,,,,,,,,Dragon Hat - Red,0.63
46,,,,,,,,,,,,,Ice Cream,0.52
47,,,,,,,,,,,,,Mohawk - Rainbow,0.51
48,,,,,,,,,,,,,Knight Helmet - Blue,0.48
49,,,,,,,,,,,,,Pizza,0.37
50,,,,,,,,,,,,,Assassins Cowl - Black,0.36
51,,,,,,,,,,,,,Ape Hat,0.34
52,,,,,,,,,,,,,Knight Helmet - Red,0.33
53,,,,,,,,,,,,,Assassins Cowl - White,0.27
54,,,,,,,,,,,,,Pylon Helmet,0.18
55,,,,,,,,,,,,,Plague Mask,0.15
56,,,,,,,,,,,,,Dagon Hat - Purple - Laser,0.12
